Loan_ID,Applicant Income,Loan Amount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001144,5821,144,36,1,Urban,Y
LP001146,2645,120,36,0,Urban,N
LP001151,4000,144,36,1,Semiurban,Y
LP001155,1928,100,36,1,Semiurban,Y
LP001157,3086,120,36,1,Semiurban,Y
LP001164,4230,112,36,1,Semiurban,N
LP001179,4616,134,36,1,Urban,N
LP001186,11500,286,36,0,Urban,N
LP001194,2708,97,36,1,Semiurban,Y
LP001195,2132,96,36,1,Semiurban,Y
LP001197,3366,135,36,1,Rural,N
LP001198,8080,180,36,1,Urban,Y
LP001199,3357,144,36,1,Urban,Y
LP001205,2500,120,36,1,Urban,Y
LP001206,3029,99,36,1,Urban,Y
LP001207,2609,165,18,0,Rural,N
LP001213,4945,,36,0,Rural,N
LP001222,4166,116,36,0,Semiurban,N
LP001225,5726,258,36,1,Semiurban,N
LP001228,3200,126,18,0,Urban,N
LP001233,10750,312,36,1,Urban,Y
LP001238,7100,125,60,1,Urban,Y
LP001241,4300,136,36,0,Semiurban,N
LP001243,3208,172,36,1,Urban,Y
LP001245,1875,97,36,1,Semiurban,Y
LP001248,3500,81,30,1,Semiurban,Y
LP001250,4755,95,,0,Semiurban,N
LP001253,5266,187,36,1,Semiurban,Y
LP001255,3750,113,48,1,Urban,N
LP001256,3750,176,36,1,Urban,N
LP001259,1000,110,36,1,Urban,N
LP001263,3167,180,30,0,Semiurban,N
LP001264,3333,130,36,,Semiurban,Y
LP001265,3846,111,36,1,Semiurban,Y
LP001266,2395,,36,1,Semiurban,Y
LP001267,1378,167,36,1,Urban,N
LP001273,6000,265,36,,Semiurban,N
LP001275,3988,50,24,1,Urban,Y
LP001279,2366,136,36,1,Semiurban,Y
LP001280,3333,99,36,,Semiurban,Y
LP001282,2500,104,36,1,Semiurban,Y
LP001289,8566,210,36,1,Urban,Y
LP001310,5695,175,36,1,Semiurban,Y
LP001316,2958,131,36,1,Semiurban,Y
LP001318,6250,188,18,1,Semiurban,Y
LP001319,3273,81,36,1,Urban,Y
LP001322,4133,122,36,1,Semiurban,Y
LP001325,3620,25,12,1,Semiurban,Y
LP001326,6782,,36,,Urban,N
LP001327,2484,137,36,1,Semiurban,Y
LP001333,1977,50,36,1,Semiurban,Y
LP001334,4188,115,18,1,Semiurban,Y
LP001343,1759,131,36,1,Semiurban,Y
LP001345,4288,133,18,1,Urban,Y
LP001349,4843,151,36,1,Semiurban,Y
LP001350,13650,,36,1,Urban,Y
LP001356,4652,,36,1,Semiurban,Y
LP001357,3816,160,36,1,Urban,Y
LP001367,3052,100,36,1,Urban,Y
LP001369,11417,225,36,1,Urban,Y
LP001370,7333,120,36,1,Rural,N
LP001379,3800,216,36,0,Urban,N
LP001384,2071,94,48,1,Semiurban,Y
LP001385,5316,136,36,1,Urban,Y
LP001387,2929,139,36,1,Semiurban,Y
LP001391,3572,152,,0,Rural,N
LP001392,7451,,36,1,Semiurban,Y
LP001398,5050,118,36,1,Semiurban,Y
LP001401,14583,185,18,1,Rural,Y
LP001404,3167,154,36,1,Semiurban,Y
LP001405,2214,85,36,,Urban,Y
LP001421,5568,175,36,1,Rural,N
LP001422,10408,259,36,1,Urban,Y
LP001426,5667,180,36,1,Rural,Y
LP001430,4166,44,36,1,Semiurban,Y
LP001431,2137,137,36,0,Semiurban,Y
LP001432,2957,81,36,1,Semiurban,Y
LP001439,4300,194,36,1,Rural,Y
LP001443,3692,93,36,,Rural,Y
LP001448,23803,370,36,1,Rural,Y
LP001449,3865,,36,1,Rural,Y
LP001451,10513,160,18,0,Urban,N
LP001465,6080,182,36,,Rural,N
LP001469,20166,650,48,,Urban,Y
LP001473,2014,74,36,1,Urban,Y
LP001478,2718,70,36,1,Semiurban,Y
LP001482,3459,25,12,1,Semiurban,Y
LP001487,4895,102,36,1,Semiurban,Y
LP001488,4000,290,36,1,Semiurban,N
LP001489,4583,84,36,1,Rural,N
LP001491,3316,88,36,1,Urban,Y
LP001492,14999,242,36,0,Semiurban,N
LP001493,4200,129,36,1,Rural,N
LP001497,5042,185,36,1,Rural,N
LP001498,5417,168,36,1,Urban,Y
LP001504,6950,175,18,1,Semiurban,Y
LP001507,2698,122,36,1,Semiurban,Y
LP001508,11757,187,18,1,Urban,Y
LP001514,2330,100,36,1,Semiurban,Y
LP001516,14866,70,36,1,Urban,Y
LP001518,1538,30,36,1,Urban,Y
LP001519,10000,225,36,1,Rural,N
LP001520,4860,125,36,1,Semiurban,Y
LP001528,6277,118,36,0,Rural,N
LP001529,2577,152,36,1,Rural,Y
LP001531,9166,244,36,1,Urban,N
LP001532,2281,113,36,1,Rural,N
LP001535,3254,50,36,1,Urban,Y
LP001536,39999,600,18,0,Semiurban,Y
LP001541,6000,160,36,,Rural,Y
LP001543,9538,187,36,1,Urban,Y
LP001546,2980,120,36,1,Rural,Y
LP001552,4583,255,36,1,Semiurban,Y
LP001560,1863,98,36,1,Semiurban,Y
LP001562,7933,275,36,1,Urban,N
LP001565,3089,121,36,0,Semiurban,N
LP001570,4167,158,36,1,Rural,Y
LP001572,9323,75,18,1,Urban,Y
LP001574,3707,182,,1,Rural,Y
LP001577,4583,112,36,1,Rural,N
LP001578,2439,129,36,1,Rural,Y
LP001579,2237,63,48,0,Semiurban,N
LP001580,8000,200,36,1,Semiurban,Y
LP001581,1820,95,36,1,Rural,Y
LP001585,51763,700,30,1,Urban,Y
LP001586,3522,81,18,1,Rural,N
LP001594,5708,187,36,1,Semiurban,Y
LP001603,4344,87,36,1,Semiurban,N
LP001606,3497,116,36,1,Rural,Y
LP001608,2045,101,36,1,Rural,Y
LP001610,5516,495,36,0,Semiurban,N
LP001616,3750,116,36,1,Semiurban,Y
LP001630,2333,102,48,0,Urban,N
LP001633,6400,180,36,0,Urban,N
LP001634,1916,67,36,,Rural,N
LP001636,4600,73,18,1,Semiurban,Y
LP001637,33846,260,36,1,Semiurban,N
LP001639,3625,108,36,1,Semiurban,Y
LP001640,39147,120,36,1,Semiurban,Y
LP001641,2178,66,30,0,Rural,N
LP001643,2383,58,36,,Rural,Y
LP001644,674,168,36,1,Rural,Y
LP001647,9328,188,18,1,Rural,Y
LP001653,4885,48,36,1,Rural,Y
LP001656,12000,164,36,1,Semiurban,N
LP001657,6033,160,36,1,Urban,N
LP001658,3858,76,36,1,Semiurban,Y
LP001664,4191,120,36,1,Rural,Y
LP001665,3125,170,36,1,Semiurban,N
LP001666,8333,187,36,1,Rural,Y
LP001669,1907,120,,1,Urban,Y
LP001671,3416,113,36,,Semiurban,Y
LP001673,11000,83,36,1,Urban,N
LP001674,2600,90,36,1,Semiurban,Y
LP001677,4923,166,36,0,Semiurban,Y
LP001682,3992,,18,1,Urban,N
LP001688,3500,135,36,1,Urban,Y
LP001691,3917,124,36,1,Semiurban,Y
LP001692,4408,120,36,1,Semiurban,Y
LP001693,3244,80,36,1,Urban,Y
LP001698,3975,55,36,1,Rural,Y
LP001699,2479,59,36,1,Urban,Y
LP001702,3418,127,36,1,Semiurban,N
LP001708,10000,214,36,1,Semiurban,N
LP001711,3430,128,36,0,Semiurban,N
LP001713,7787,240,36,1,Urban,Y
LP001715,5703,130,36,1,Rural,Y
LP001716,3173,137,36,1,Urban,Y
LP001720,3850,100,36,1,Semiurban,Y
LP001722,150,135,36,1,Rural,N
LP001726,3727,131,36,1,Semiurban,Y
LP001732,5000,72,36,0,Semiurban,N
LP001734,4283,127,36,,Semiurban,Y
LP001736,2221,60,36,0,Urban,N
LP001743,4009,116,36,1,Semiurban,Y
LP001744,2971,144,36,1,Semiurban,Y
LP001749,7578,175,,1,Semiurban,Y
LP001750,6250,128,36,1,Semiurban,Y
LP001751,3250,170,36,1,Rural,N
LP001754,4735,138,36,1,Urban,N
LP001758,6250,210,36,1,Semiurban,Y
LP001760,4758,158,48,1,Semiurban,Y
LP001761,6400,200,36,1,Rural,Y
LP001765,2491,104,36,1,Semiurban,Y
LP001768,3716,42,18,1,Rural,Y
LP001770,3189,120,,1,Rural,Y
LP001776,8333,280,36,1,Semiurban,Y
LP001778,3155,140,36,1,Semiurban,Y
LP001784,5500,170,36,1,Rural,Y
LP001786,5746,255,36,,Urban,N
LP001788,3463,122,36,,Urban,Y
LP001790,3812,112,36,1,Rural,Y
LP001792,3315,96,36,1,Semiurban,Y
LP001798,5819,120,36,1,Rural,Y
LP001800,2510,140,18,1,Urban,N
LP001806,2965,155,60,1,Urban,Y
LP001807,6250,108,36,1,Rural,Y
LP001811,3406,123,36,1,Semiurban,Y
LP001813,6050,120,18,1,Urban,N
LP001814,9703,112,36,1,Urban,Y
LP001819,6608,137,18,1,Urban,Y
LP001824,2882,123,48,1,Semiurban,Y
LP001825,1809,90,36,1,Urban,Y
LP001835,1668,201,36,0,Semiurban,N
LP001836,3427,138,36,1,Urban,N
LP001841,2583,104,36,1,Rural,Y
LP001843,2661,279,18,1,Semiurban,Y
LP001844,16250,192,36,0,Urban,N
LP001846,3083,255,36,1,Rural,Y
LP001849,6045,115,36,0,Rural,N
LP001854,5250,94,36,1,Urban,N
LP001859,14683,304,36,1,Rural,N
LP001864,4931,128,36,,Semiurban,N
LP001865,6083,330,36,,Urban,Y
LP001868,2060,134,36,1,Semiurban,Y
LP001870,3481,155,36,1,Semiurban,N
LP001871,7200,120,36,1,Rural,Y
LP001872,5166,128,36,1,Semiurban,Y
LP001875,4095,151,36,1,Rural,Y
LP001877,4708,150,36,1,Semiurban,Y
LP001882,4333,160,36,0,Urban,Y
LP001883,3418,135,36,1,Rural,N
LP001884,2876,90,36,1,Urban,Y
LP001888,3237,30,36,1,Urban,Y
LP001891,11146,136,36,1,Urban,Y
LP001892,2833,126,36,1,Rural,Y
LP001894,2620,150,36,1,Semiurban,Y
LP001896,3900,90,36,1,Semiurban,Y
LP001900,2750,115,36,1,Semiurban,Y
LP001903,3993,207,36,1,Semiurban,Y
LP001904,3103,80,36,1,Urban,Y
LP001907,14583,436,36,1,Semiurban,Y
LP001908,4100,124,36,,Rural,Y
LP001910,4053,158,36,0,Urban,N
LP001914,3927,112,36,1,Semiurban,Y
LP001915,2301,78,18,1,Urban,Y
LP001917,1811,54,36,1,Urban,Y
LP001922,20667,,36,1,Rural,N
LP001924,3158,89,36,1,Rural,Y
LP001925,2600,99,30,1,Semiurban,N
LP001926,3704,120,36,1,Rural,Y
LP001931,4124,115,36,1,Semiurban,Y
LP001935,9508,187,36,1,Rural,Y
LP001936,3075,139,36,1,Rural,Y
LP001938,4400,127,36,0,Semiurban,N
LP001940,3153,134,36,1,Urban,Y
LP001945,5417,143,48,0,Urban,N
LP001947,2383,172,36,1,Semiurban,Y
LP001949,4416,110,36,1,Urban,Y
LP001953,6875,200,36,1,Semiurban,Y
LP001954,4666,135,36,1,Urban,Y
LP001955,5000,151,48,1,Rural,N
LP001963,2014,113,36,1,Urban,N
LP001964,1800,93,36,0,Urban,N
LP001972,2875,105,36,1,Semiurban,Y
LP001974,5000,132,36,1,Rural,Y
LP001977,1625,96,36,1,Urban,Y
LP001978,4000,140,36,1,Rural,Y
LP001990,2000,,36,1,Urban,N
LP001993,3762,135,36,1,Rural,Y
LP001994,2400,104,36,0,Urban,N
LP001996,20233,480,36,1,Rural,N
LP001998,7667,185,36,,Rural,Y
LP002002,2917,84,36,1,Semiurban,Y
LP002004,2927,111,36,1,Semiurban,Y
LP002006,2507,56,36,1,Rural,Y
LP002008,5746,144,84,,Rural,Y
LP002024,2473,159,36,1,Rural,N
LP002031,3399,111,18,1,Urban,Y
LP002035,3717,120,36,1,Semiurban,Y
LP002036,2058,88,36,,Urban,Y
LP002043,3541,112,36,,Semiurban,Y
LP002050,10000,155,36,1,Rural,N
LP002051,2400,115,36,1,Semiurban,Y
LP002053,4342,124,36,1,Semiurban,Y
LP002054,3601,,36,1,Rural,Y
LP002055,3166,132,36,,Rural,Y
LP002065,15000,300,36,1,Rural,Y
LP002067,8666,376,36,0,Rural,N
LP002068,4917,130,36,0,Rural,Y
LP002082,5818,184,36,1,Semiurban,Y
LP002086,4333,110,36,1,Urban,N
LP002087,2500,67,36,1,Urban,Y
LP002097,4384,117,36,1,Urban,Y
LP002098,2935,98,36,1,Semiurban,Y
LP002100,2833,71,36,1,Urban,Y
LP002101,63337,490,18,1,Urban,Y
LP002103,9833,182,18,1,Urban,Y
LP002106,5503,70,,1,Semiurban,Y
LP002110,5250,160,36,1,Rural,Y
LP002112,2500,176,36,1,Rural,Y
LP002113,1830,,36,0,Urban,N
LP002114,4160,71,36,1,Semiurban,Y
LP002115,2647,173,36,1,Rural,N
LP002116,2378,46,36,1,Rural,N
LP002119,4554,158,36,1,Urban,Y
LP002126,3173,74,36,1,Semiurban,Y
LP002128,2583,125,36,1,Rural,Y
LP002129,2499,160,36,1,Semiurban,Y
LP002130,3523,152,36,0,Rural,N
LP002131,3083,126,36,1,Urban,Y
LP002137,6333,259,36,,Semiurban,Y
LP002138,2625,187,36,1,Rural,Y
LP002139,9083,228,36,1,Semiurban,Y
LP002140,8750,308,36,1,Rural,N
LP002141,2666,95,36,1,Rural,Y
LP002142,5500,105,36,0,Rural,N
LP002143,2423,130,36,1,Semiurban,Y
LP002144,3813,116,18,1,Urban,Y
LP002149,8333,165,36,1,Rural,Y
LP002151,3875,67,36,1,Urban,N
LP002158,3000,100,48,0,Urban,N
LP002160,5167,200,36,1,Semiurban,Y
LP002161,4723,81,36,1,Semiurban,N
LP002170,5000,236,36,1,Semiurban,Y
LP002175,4750,130,36,1,Urban,Y
LP002178,3013,95,30,,Urban,Y
LP002180,6822,141,36,1,Rural,Y
LP002181,6216,133,36,1,Rural,N
LP002187,2500,96,48,1,Semiurban,N
LP002188,5124,124,,0,Rural,N
LP002190,6325,175,36,1,Semiurban,Y
LP002191,19730,570,36,1,Rural,N
LP002194,15759,55,36,1,Semiurban,Y
LP002197,5185,155,36,1,Semiurban,Y
LP002201,9323,380,30,1,Rural,Y
LP002205,3062,111,18,0,Urban,N
LP002209,2764,110,36,1,Urban,Y
LP002211,4817,120,18,1,Urban,Y
LP002219,8750,130,36,1,Rural,Y
LP002223,4310,130,36,,Semiurban,Y
LP002224,3069,71,48,1,Urban,N
LP002225,5391,130,36,1,Urban,Y
LP002226,3333,128,36,1,Semiurban,Y
LP002229,5941,296,36,1,Semiurban,Y
LP002231,6000,156,36,1,Urban,Y
LP002234,7167,128,36,1,Urban,Y
LP002236,4566,100,36,1,Urban,N
LP002237,3667,113,18,1,Urban,Y
LP002239,2346,132,36,1,Semiurban,Y
LP002243,3010,,36,0,Urban,N
LP002244,2333,136,36,1,Urban,Y
LP002250,5488,125,36,1,Rural,Y
LP002255,9167,185,36,1,Rural,Y
LP002262,9504,275,36,1,Rural,Y
LP002263,2583,120,36,,Urban,Y
LP002265,1993,113,18,1,Semiurban,Y
LP002266,3100,113,36,1,Urban,Y
LP002272,3276,135,36,,Semiurban,Y
LP002277,3180,71,36,0,Urban,N
LP002281,3033,95,36,1,Urban,Y
LP002284,3902,109,36,1,Rural,Y
LP002287,1500,103,36,0,Semiurban,N
LP002288,2889,45,18,0,Urban,N
LP002296,2755,65,30,1,Rural,N
LP002297,2500,103,36,1,Semiurban,Y
LP002300,1963,53,36,1,Semiurban,Y
LP002301,7441,194,36,1,Rural,N
LP002305,4547,115,36,1,Semiurban,Y
LP002308,2167,115,36,1,Urban,Y
LP002314,2213,66,36,1,Rural,Y
LP002315,8300,152,30,0,Semiurban,N
LP002317,81000,360,36,0,Rural,N
LP002318,3867,62,36,1,Semiurban,N
LP002319,6256,160,36,,Urban,Y
LP002328,6096,218,36,0,Rural,N
LP002332,2253,110,36,1,Rural,Y
LP002335,2149,178,36,0,Semiurban,N
LP002337,2995,60,36,1,Urban,Y
LP002341,2600,160,36,1,Urban,N
LP002342,1600,239,36,1,Urban,N
LP002345,1025,112,36,1,Rural,Y
LP002347,3246,138,36,1,Semiurban,Y
LP002348,5829,138,36,1,Rural,Y
LP002357,2720,80,,0,Urban,N
LP002361,1820,100,36,1,Urban,Y
LP002362,7250,110,,0,Urban,N
LP002364,14880,96,36,1,Semiurban,Y
LP002366,2666,121,36,1,Rural,Y
LP002367,4606,81,36,1,Rural,N
LP002368,5935,133,36,1,Semiurban,Y
LP002369,2920,87,36,1,Rural,Y
LP002370,2717,60,18,1,Urban,Y
LP002377,8624,150,36,1,Semiurban,Y
LP002379,6500,105,36,0,Rural,N
LP002386,12876,405,36,1,Semiurban,Y
LP002387,2425,143,36,1,Semiurban,Y
LP002390,3750,100,36,1,Urban,Y
LP002393,10047,,24,1,Semiurban,Y
LP002398,1926,50,36,1,Semiurban,Y
LP002401,2213,,36,1,Urban,Y
LP002403,10416,187,36,0,Urban,N
LP002407,7142,138,36,1,Rural,Y
LP002408,3660,187,36,1,Semiurban,Y
LP002409,7901,180,36,1,Rural,Y
LP002418,4707,148,36,1,Semiurban,Y
LP002422,37719,152,36,1,Semiurban,Y
LP002424,7333,175,30,,Rural,Y
LP002429,3466,130,36,1,Rural,Y
LP002434,4652,110,36,1,Rural,Y
LP002435,3539,55,36,1,Rural,N
LP002443,3340,150,36,0,Rural,N
LP002444,2769,190,36,,Semiurban,N
LP002446,2309,125,36,0,Rural,N
LP002447,1958,60,30,,Urban,Y
LP002448,3948,149,36,0,Rural,N
LP002449,2483,90,18,0,Rural,Y
LP002453,7085,84,36,1,Semiurban,Y
LP002455,3859,96,36,1,Semiurban,Y
LP002459,4301,118,36,1,Urban,Y
LP002467,3708,173,36,1,Urban,N
LP002472,4354,136,36,1,Rural,Y
LP002473,8334,160,36,1,Semiurban,N
LP002478,2083,160,36,,Semiurban,Y
LP002484,7740,128,18,1,Urban,Y
LP002487,3015,153,36,1,Rural,Y
LP002489,5191,132,36,1,Semiurban,Y
LP002493,4166,98,36,0,Semiurban,N
LP002494,6000,140,36,1,Rural,Y
LP002500,2947,70,18,0,Urban,N
LP002501,16692,110,36,1,Semiurban,Y
LP002502,210,98,36,1,Semiurban,Y
LP002505,4333,110,36,1,Urban,N
LP002515,3450,162,36,1,Semiurban,Y
LP002517,2653,113,18,0,Rural,N
LP002519,4691,100,36,1,Semiurban,Y
LP002522,2500,93,36,,Urban,Y
LP002524,5532,162,36,1,Rural,Y
LP002527,16525,150,36,1,Rural,Y
LP002529,6700,230,30,1,Semiurban,Y
LP002530,2873,132,36,0,Semiurban,N
LP002531,16667,86,36,1,Semiurban,Y
LP002533,2947,,36,1,Urban,N
LP002534,4350,154,36,1,Rural,Y
LP002536,3095,113,36,1,Rural,Y
LP002537,2083,128,36,1,Semiurban,Y
LP002541,10833,234,36,1,Semiurban,Y
LP002543,8333,246,36,1,Semiurban,Y
LP002544,1958,131,36,1,Rural,Y
LP002545,3547,80,36,0,Rural,N
LP002547,18333,500,36,1,Urban,N
LP002555,4583,160,36,1,Semiurban,Y
LP002556,2435,75,36,1,Urban,N
LP002560,2699,96,36,,Semiurban,Y
LP002562,5333,186,36,,Urban,Y
LP002571,3691,110,36,1,Rural,Y
LP002582,17263,225,36,1,Semiurban,Y
LP002585,3597,119,36,0,Rural,N
LP002586,3326,105,84,1,Semiurban,Y
LP002587,2600,107,36,1,Rural,Y
LP002588,4625,111,12,,Urban,Y
LP002600,2895,95,36,1,Semiurban,Y
LP002602,6283,209,36,0,Rural,N
LP002603,645,113,48,1,Rural,Y
LP002606,3159,100,36,1,Semiurban,Y
LP002615,4865,208,36,1,Semiurban,Y
LP002618,4050,138,36,,Rural,N
LP002619,3814,124,30,1,Semiurban,Y
LP002622,3510,243,36,1,Rural,Y
LP002624,20833,480,36,,Urban,Y
LP002625,3583,96,36,1,Urban,N
LP002626,2479,188,36,1,Urban,Y
LP002634,13262,40,36,1,Urban,Y
LP002637,3598,100,36,1,Rural,N
LP002640,6065,250,36,1,Semiurban,Y
LP002643,3283,148,36,1,Urban,Y
LP002648,2130,70,18,1,Semiurban,N
LP002652,5815,311,36,1,Rural,N
LP002659,3466,150,36,1,Rural,Y
LP002670,2031,113,48,1,Semiurban,Y
LP002682,3074,123,36,0,Semiurban,N
LP002683,4683,185,36,1,Semiurban,N
LP002684,3400,95,36,1,Rural,N
LP002689,2192,45,36,1,Semiurban,Y
LP002690,2500,55,36,1,Semiurban,Y
LP002692,5677,100,36,1,Rural,Y
LP002693,7948,480,36,1,Rural,Y
LP002697,4680,,36,1,Semiurban,N
LP002699,17500,400,36,1,Rural,Y
LP002705,3775,110,36,1,Semiurban,Y
LP002706,5285,161,36,0,Semiurban,Y
LP002714,2679,94,36,1,Semiurban,Y
LP002716,6783,130,36,1,Semiurban,Y
LP002717,1025,216,36,,Rural,Y
LP002720,4281,100,36,1,Urban,Y
LP002723,3588,110,36,0,Rural,N
LP002729,11250,196,36,,Semiurban,N
LP002731,18165,125,36,1,Urban,Y
LP002732,2550,126,36,1,Rural,Y
LP002734,6133,324,36,1,Urban,Y
LP002738,3617,107,36,1,Semiurban,Y
LP002739,2917,66,36,1,Rural,N
LP002740,6417,157,18,1,Rural,Y
LP002741,4608,140,18,1,Semiurban,Y
LP002743,2138,99,36,0,Semiurban,N
LP002753,3652,95,36,1,Semiurban,Y
LP002755,2239,128,36,1,Urban,Y
LP002757,3017,102,36,,Semiurban,Y
LP002767,2768,155,36,1,Rural,Y
LP002768,3358,80,36,1,Semiurban,N
LP002772,2526,145,36,1,Rural,Y
LP002776,5000,103,36,0,Semiurban,N
LP002777,2785,110,36,1,Rural,Y
LP002778,6633,,36,0,Rural,N
LP002784,2492,,36,1,Rural,Y
LP002785,3333,158,36,1,Urban,Y
LP002788,2454,181,36,0,Urban,N
LP002789,3593,132,18,0,Rural,N
LP002792,5468,26,36,1,Semiurban,Y
LP002794,2667,84,36,,Urban,Y
LP002795,10139,260,36,1,Semiurban,Y
LP002798,3887,162,36,1,Semiurban,Y
LP002804,4180,182,36,1,Semiurban,Y
LP002807,3675,108,36,1,Semiurban,Y
LP002813,19484,600,36,1,Semiurban,Y
LP002820,5923,211,36,1,Rural,Y
LP002821,5800,132,36,1,Semiurban,Y
LP002832,8799,258,36,0,Urban,N
LP002833,4467,120,36,,Rural,Y
LP002836,3333,70,36,1,Urban,Y
LP002837,3400,123,36,0,Rural,N
LP002840,2378,9,36,1,Urban,N
LP002841,3166,104,36,0,Urban,N
LP002842,3417,186,36,1,Urban,Y
LP002847,5116,165,36,0,Urban,N
LP002855,16666,275,36,1,Urban,Y
LP002862,6125,187,48,1,Semiurban,N
LP002863,6406,150,36,1,Semiurban,N
LP002868,3159,108,84,1,Urban,Y
LP002872,3087,136,36,0,Semiurban,N
LP002874,3229,110,36,1,Urban,Y
LP002877,1782,107,36,1,Rural,Y
LP002888,3182,161,36,1,Urban,Y
LP002892,6540,205,36,1,Semiurban,Y
LP002893,1836,90,36,1,Urban,N
LP002894,3166,36,36,1,Semiurban,Y
LP002898,1880,61,36,,Rural,N
LP002911,2787,146,36,0,Rural,N
LP002912,4283,172,84,1,Rural,N
LP002916,2297,104,36,1,Urban,Y
LP002917,2165,70,36,1,Semiurban,Y
LP002925,4750,94,36,1,Semiurban,Y
LP002926,2726,106,36,0,Semiurban,N
LP002928,3000,56,18,1,Semiurban,Y
LP002931,6000,205,24,1,Semiurban,N
LP002933,9357,292,36,1,Semiurban,Y
LP002936,3859,142,18,1,Rural,Y
LP002938,16120,260,36,1,Urban,Y
LP002940,3833,110,36,1,Rural,Y
LP002941,6383,187,36,1,Rural,N
LP002943,2987,88,36,0,Semiurban,N
LP002945,9963,180,36,1,Rural,Y
LP002948,5780,192,36,1,Urban,Y
LP002949,416,350,18,,Urban,N
LP002950,2894,155,36,1,Rural,Y
LP002953,5703,128,36,1,Urban,Y
LP002958,3676,172,36,1,Rural,Y
LP002959,12000,496,36,1,Semiurban,Y
LP002960,2400,,18,1,Urban,N
LP002961,3400,173,36,1,Semiurban,Y
LP002964,3987,157,36,1,Rural,Y
LP002974,3232,108,36,1,Rural,Y
LP002978,2900,71,36,1,Rural,Y
LP002979,4106,40,18,1,Rural,Y
LP002983,8072,253,36,1,Urban,Y
LP002984,7583,187,36,1,Urban,Y
LP002990,4583,133,36,0,Semiurban,N
